"Source:","/Users/cedargrove/Documents/GitHub/PCB_Ibanez_FL-9_Flanger/PCB/Ibanez_FL-9.kicad_sch"
"Date:","Tuesday, November 29, 2022 at 03:07:29 PM"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","156"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description"
"6","1","C105","0.004uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"7","2","C106, C129","0.01uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"8","1","C107","120pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"9","1","C108","0.033uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"10","2","C109, C125","1uf/50v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","","AL POLARIZED"
"11","3","C110, C115, C117","1uf/50","Device:C_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","AL NON-POLARIZED"
"12","1","C111","0.0015uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"13","1","C112","0.001uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"14","1","C113","0.003uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"15","1","C114","560pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"16","1","C116","0.22uf/50v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","AL POLARIZED"
"17","1","C119","0.004 FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"18","1","C120","10uf/16v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","AL POLARIZED"
"19","3","C122, C123, C124","1000pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"20","1","C126","20pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"21","1","C127","5pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"22","1","C128","22uf/10v TAN","Device:CP1_Small","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P5.00mm","","TANTALUM"
"23","2","C130, C131","47uf/10v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","AL POLARIZED"
"24","2","C132, C135","47uf/6.3v","Device:CP1_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","AL POLARIZED"
"25","1","C133","100uf/16v","Device:CP1_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","AL POLARIZED"
"26","1","C134","100uf/10v","Device:CP1_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","AL POLARIZED"
"27","2","CR1, CR2","CR_N01","Device:CR_N01","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","RESISTOR-CAPACITOR NETWORK"
"28","1","D1","LN21CPSL","Device:LED","","~","LED, CLEAR RED"
"29","5","D101, D102, D103, D104, D107","1N4148","Diode:1N4448","Diode_THT:D_T-1_P2.54mm_Vertical_KathodeUp","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","SIGNAL DIODE, 1N4148"
"30","1","D105","RD5.1EB","Device:D_Zener","Diode_THT:D_T-1_P2.54mm_Vertical_KathodeUp","~","5.1V ZENER DIODE"
"31","1","D106","W05C","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","SCHOTTKY DIODE, 50V 500MA"
"32","6","IC101, IC102, IC103, U101, U102, U103","TL022","Amplifier_Operational:TL072","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","OPERATIONAL AMPLIFIER"
"33","1","IC104","MN3207","Audio:MN3207","Package_DIP:DIP-8_W7.62mm","http://www.experimentalistsanonymous.com/diy/Datasheets/MN3207.pdf","BUCKET BRIGADE DELAY, 1024 STAGE"
"34","1","IC105","MN3102","Timer:MN3102","Package_DIP:DIP-8_W7.62mm","http://www.experimentalistsanonymous.com/diy/Datasheets/MN3102.pdf","CLOCK GENERATOR"
"35","1","IC106","LM78L05_TO92","Regulator_Linear:LM78L05_TO92","Package_TO_SOT_THT:TO-92","https://www.onsemi.com/pub/Collateral/MC78L06A-D.pdf","VOLTAGE REGULATOR, 5 VOLTS"
"36","1","J1","INPUT","Connector:AudioJack3","","~","0.25-INCH TRS JACK"
"37","1","J2","OUTPUT","Connector:AudioJack2","","~","0.25-INCH TS JACK"
"38","1","J3","EXT_DC","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","2.1MM BARREL JACK SWITCHED"
"39","1","JP1","GRY",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"40","1","JP2","YEL",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"41","1","JP3","WHT",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"42","2","JP4, JP9","RED","Jumper:SolderJumper_2_Bridged","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"43","1","JP5","BLU",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"44","1","JP6","PUR",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"45","1","JP7","BRN",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"46","1","JP8","S-BL",":SolderJumper_2_Bridged_2","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"47","1","JP10","BLK",":SolderJumper_2_Bridged_5","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"48","1","JP11","W/R","Jumper:SolderJumper_2_Bridged","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"49","1","JP12","PINK",":SolderJumper_2_Bridged_6","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"50","1","JP13","GRN",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"51","1","JP14","ORA",":SolderJumper_2_Bridged_1","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"52","1","JP15","RED",":SolderJumper_2_Bridged_3","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"53","1","JP16","Y-GR",":SolderJumper_2_Bridged_4","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~",""
"54","6","Q101, Q102, Q104, Q105, Q106, Q109","2SC2458GR","Transistor_BJT:2SD1047","Package_TO_SOT_THT:TO-92Flat","http://www.st.com/resource/en/datasheet/2sd1047.pdf","NPN BIPOLAR JUNCTION TRANSISTOR (BJT)"
"55","1","Q103","2SK44SPC","Device:Q_NJFET_SGD","Package_TO_SOT_THT:TO-92Flat","~","N-CHANNEL JUNCTION FIELD EFFECT TRANSISTOR (JFET)"
"56","1","Q107","2SA1048Y/GR","Transistor_BJT:2SA1015","Package_TO_SOT_THT:TO-92Flat","http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf","HIGH-SPEED BIPOLAR JUNCTION TRANSISTOR (BJT)"
"57","1","Q108","2SC1583F","Transistor_Array:2SC1583F","Package_TO_SOT_THT:TO-92Flat_5-PIN","","DUAL MATCHED NPN TRANSISTOR NETWORK"
"58","1","R101","1K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"59","2","R102, R106","510K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"60","3","R103, R127, R129","91K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"61","5","R104, R117, R118, R119, R128","18K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"62","1","R105","180K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"63","7","R107, R113, R124, R125, R132, R154, R161","100K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"64","12","R108, R112, R120, R123, R130, R134, R135, R148, R158, R159, R163, R164","10K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"65","1","R109","47K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"66","2","R110, R111","12K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"67","2","R114, R115","5.1K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"68","3","R116, R136, R137","56K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"69","2","R121, R122","13K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"70","2","R126, R156","51K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"71","1","R131","470","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"72","3","R133, R138, R143","1M","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"73","2","R139, R155","62K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"74","1","R140","22K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"75","1","R141","22","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"76","1","R142","100","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"77","1","R144","2.2K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"78","1","R145","330","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"79","1","R146","33K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"80","1","R147","27K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"81","1","R149","9.1K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"82","1","R150","2.2M","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"83","1","R151","150K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"84","1","R152","220K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"85","1","R153","200K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"86","1","R157","1.2K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"87","1","R160","110K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"88","1","R162","270K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"89","1","R165","4.7K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","1/8W  5% RESISTOR"
"90","1","RV1","500K","Device:R_Potentiometer","","~","POTENTIOMETER, CHASSIS MOUNT"
"91","1","RV2","100K","Device:R_Potentiometer","","~","POTENTIOMETER, CHASSIS MOUNT"
"92","1","RV3","50K","Device:R_Potentiometer","","~","POTENTIOMETER, CHASSIS MOUNT"
"93","1","RV4","10K","Device:R_Potentiometer","","~","POTENTIOMETER, CHASSIS MOUNT"
"94","1","RV101","20K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","~","TRIMMER POTENTIOMETER"
"95","1","RV102","10K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","~","TRIMMER POTENTIOMETER"
"96","1","RV103","100K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","~","TRIMMER POTENTIOMETER"
"97","1","SW1","NORMAL/EFFECT","Switch:SW_Push","","~","SPST PUSH BUTTON SWITCH, MOMENTARY"
